date,time_edt,post_type,episode,caption,media_required,engagement_prompt,status,impressions,engagements,replies,reposts,profile_visits,notes
2026-07-29,7:30 PM,Series announcement,,"A new daily comic is coming. The Formula of Becoming follows two first-year math students learning that plans, people, and futures do not always solve cleanly. #TheFormulaOfBecoming #CollegeComics","Approved series announcement image",,Ready after visual approval,,,,,,
2026-07-30,9:00 AM,Character introduction,,"Meet Malik Baptiste: actuarial science student, careful planner, and the person most likely to trust a spreadsheet before he trusts a room. #TheFormulaOfBecoming","01-meet-malik-story.png","What is one thing you over-plan?",Ready after visual approval,,,,,,
2026-07-30,12:15 PM,Character introduction,,"Meet Nia Reynolds: mathematical sciences student, curious explainer, and the person most likely to see the human detail a tidy model left out. #TheFormulaOfBecoming","02-meet-nia-story.png","Are you more Malik or Nia when a plan changes?",Ready after visual approval,,,,,,
2026-07-30,7:30 PM,Premise teaser,,"One problem. Two perspectives. A friendship built on telling the truth about both the numbers and the people inside them. #TheFormulaOfBecoming #MathStories","03-two-ways-of-seeing-feed.png",,Ready after visual approval,,,,,,
2026-07-31,9:00 AM,Trailer A,,"Plans change. Models change. People do too. The Formula of Becoming begins today. #TheFormulaOfBecoming","trailer-a-final-captioned.mp4",,Pending trailer approval,,,,,,
2026-07-31,12:15 PM,Launch episode,001,"Episode 1: Two Kinds of Plans. Malik arrives early for Summer Bridge and finds a mistake in the budget he promised his family was finished. #TheFormulaOfBecoming","Episode 001 lettered page or captioned clip","Pin this post",Ready after identity QA,,,,,,
2026-07-31,7:30 PM,Launch reminder,,"Budgets. Friendships. Storms. Futures. Mathematics is already part of the story. #TheFormulaOfBecoming","04-launch-story.png",,Ready after visual approval,,,,,,
2026-08-01,9:00 AM,Trailer B,,"Plans change. Models change. People do too. The Formula of Becoming has begun. #TheFormulaOfBecoming","trailer-b-final-captioned.mp4",,Pending trailer approval,,,,,,
2026-08-01,12:15 PM,Episode,002,"Episode 2. Nia asks to share Malik's table. She notices the spreadsheet and the fear underneath his precision. #TheFormulaOfBecoming","Episode 002 lettered page or captioned clip","What is one thing you over-plan?",Ready after identity QA,,,,,,
2026-08-02,12:15 PM,Episode,003,"Episode 3. One modeling task. Two methods. Malik wants clean columns; Nia wants to draw the situation before calculating. #TheFormulaOfBecoming #MathStories","Episode 003 lettered page or captioned clip","Columns first or sketch first?",Ready after identity QA,,,,,,
2026-08-03,12:15 PM,Episode,004,"Episode 4: Why Math Matters. The answer changes when family, future, and community are part of the equation. #TheFormulaOfBecoming","Episode 004 comic or captioned clip",,Ready after identity QA,,,,,,
2026-08-04,12:15 PM,Episode,005,"Episode 5. A campus tour is never just a campus tour. #TheFormulaOfBecoming #CollegeComics","Episode 005 location-forward page",,Ready after identity QA,,,,,,
2026-08-05,12:15 PM,Episode,006,"Episode 6. At Indigo Night, Nia meets a saxophonist. Malik signs up for analytics. Both choices will matter. #TheFormulaOfBecoming","Episode 006 comic",,Ready after identity QA,,,,,,
2026-08-06,12:15 PM,Episode plus recap,007,"Episode 7. Malik and Nia repair a budget model together, then make a promise to keep each other honest. #TheFormulaOfBecoming","Episode 007 plus optional recap",,Ready after identity QA,,,,,,
2026-08-06,7:30 PM,Week 2 teaser,,"New week, new variables: campus radio, analytics orientation, and an invitation that changes the room. #TheFormulaOfBecoming","Spoiler-light Week 2 teaser crop",,Draft,,,,,,
2026-08-07,12:15 PM,Episode,008,"Episode 8. Nia hears a campus-radio segment about first-year fears and agrees to fact-check a math joke. #TheFormulaOfBecoming","Episode 008","What is your favorite bad math joke?",Ready after identity QA,,,,,,
2026-08-08,12:15 PM,Episode,009,"Episode 9. Malik learns that first-years must test into the competitive analytics team. #TheFormulaOfBecoming","Episode 009","What challenge did you try before you felt ready?",Ready after identity QA,,,,,,
2026-08-09,12:15 PM,Episode,010,"Episode 10. One domain-and-range problem exposes the messy cases Malik wants to remove and Nia insists matter. #TheFormulaOfBecoming #MathStories","Episode 010",,Ready after identity QA,,,,,,
