date,date_label,university,source_title,url,description
"2012-09-01","September 2012","University of North Florida","UNF: Clubs and Organizations","https://www.unf.edu/ccec/students/clubs-and-organizations.html","UNF COPRI has been the proud student chapter at the University of North Florida since September 2012. COPRI stands for Coasts, Oceans, Ports, and Rivers Institute. UNF is currently working in unison with ASCE/COPRI to advance the engineering profession along the coasts through a collective effort that is mutually beneficial to both organizations. Past, present, and future activities include club meetings, seminars, w"
"2019-05-30","May 30, 2019","Florida International University","Math & Science Tutoring
    
    
      | FIU Calendar","https://calendar.fiu.edu/event/math_science_tutoring","Florida International University Homepage  # Events Calendar  # Math & Science Tutoring  Thursday, May 30, 2019 2:30pm to 6:00pm EDT  Image of Math & Science Tutoring  About this Event  3000 NE 151st ST, Academic Center One, Miami, Florida 33181  Students can stop by the UBMS office on Tuesdays, Thursdays, and Fridays from 2:30PM to 6PM for math and science tutoring in the following subjects: Geometry, Algebra I & II"
"2020-03-01","Spring 2020","Florida State University","Home | Association for Women in Mathematics -- FSU Student Chapter","https://awmfsu.wixsite.com/awmfsu","Zoom    Details  Ice Cream Social    Sat, Oct 17    Zoom    Details  AWM Mentor Mixer    Sat, Sep 12    Zoom    Details  Welcome to AWM FSU    Wed, Sep 09    Zoom    Details  # Spring 2020 Events   PI-Day Fundraiser!    Wed, Mar 25    Online Event    Details  Study Excursion - The Sweet Shop    Thu, Mar 19    701 W Jefferson St    Details  FSU Math Fun Day    Sat, Feb 01    James Jay Love Building    Details  # Fall"
"2022-03-01","spring 2022","University of West Florida","Math Association | University of West Florida","https://uwf.edu/hmcse/departments/mathematics-and-statistics/student-resources/math-association/","Article II: The purpose of this organization shall be to enhance students' interest in mathematics, to provide a social environment for mathematics students, and to identify possible career opportunities for mathematics students.  Article III: The Membership in this organization shall be open to any member of the University of West Florida community, without regard to race, religion, or national origin of any individ"
"2022-11-04","November 4, 2022","University of Central Florida","Seminars – Pegasus Math Club","https://sciences.ucf.edu/math/ucfmathclub/category/category-seminars/","Algebra Seminar: Wednesday 10:30 -11:30 am (currently private, will update when public) Discrete Seminar: Wednesday  12:30 -1:30 Numerical Seminar: Wednesday  2:00 -3:00   above are the current times for the math department seminars (these are run independently of CMS but may be of interest to many of you).  Continue reading  ## PROBABILITY SEMINAR  Speaker: Dr. Jason Swanson (University of Central Florida) When: Fri"
"2023-02-21","February 21, 2023","Florida Polytechnic University","Florida Poly students shine at international math competition - Florida Polytechnic University","https://floridapoly.edu/news/florida-poly-students-shine-at-international-math-competition/","and Insurance Specialist (CRIS) designations. Her distinct background in mathematics and engineering, combined with extensive higher education leadership, brings an analytical and strategic approach enhancing the institution’s resilience. [...] “Our students did phenomenally,” Alnaser said. “The coaches were very hands off as soon as the competition started, and the students were very independent. They managed to han"
"2023-09-01","Fall 2023","New College of Florida","New College of Florida - Wikipedia","https://en.wikipedia.org/wiki/New_College_of_Florida","## Student life  [edit]  Undergraduate demographics as of Fall 2023( Race and ethnicity | Total |  --- | | White | 57% |  | | Hispanic | 23% |  | | Black | 6% |  | | Two or more races | 5% |  | | Asian | 4% |  | | International student | 4% |  | | Unknown | 1% |  | | Economic diversity | | Low-income( | 30% |  | | Affluent( | 70% |  |  ### New College Student Alliance  [edit]  The New College Student Alliance (NCSA)"
"2023-09-13","September 13, 2023","Florida Polytechnic University","Math Tutoring  - Activities and Events - Terra Environmental Research Institute","https://www.terrawolves.com/apps/events2/event.jsp?eREC_ID=4068199&d=2023-09-13&id=3","TERRA Environmental Research Institute MDCPS Logo translate search TERRA Environmental Research Institute Twitter TERRA Environmental Research Institute Instagram TERRA TV Youtube Channel MDCPS Logo TERRA Environmental Research Institute counter  Event  # Math Tutoring  When: Wed, September 13, 2023 , 2:30pm - 3:30pm  Location: Media Center (Library)  Back to Events List  Calendar View  # Math Tutoring  Terra Environ"
"2025-09-01","Fall 2025","University of Florida","Home - Graduate Mathematics Association","https://gma.math.ufl.edu/","University of Florida Homepage  College of Liberal Arts and Sciences  # Graduate Mathematics Association  logo    The Graduate Mathematics Association is an organization of graduate students in the Department of Mathematics at the University of Florida promoting a sense of community among the graduate students in the Department as well as overseeing and organizing various activities.These activities include the gradu"
"2025-09-01","Fall 2025","University of South Florida","Peer Math Coaching","https://www.usf.edu/undergrad/academic-success-center/tutoring/math-coaching.aspx","Skip to Main Content  University of South Florida - 70 Est. 1956  ## Academic Success Center  Undergraduate Studies  # Tutoring Hub  Skip Over Breadcrumbs and Secondary Navigation  ## Peer Math Coaching  Peer Math Coaching (PMC) helps students build stronger math skills and learn how to approach math with confidence. Experienced tutors provide support not just in solving problems, but also in learning how to study ef"
